Distance,Measured,Free Space loss Predicted,ITM Predicted,DNN Predicted,ITM Squared Error,DNN Squared Error,Free Space Loss Squared Error,,,,,,
11073.2462573699,157.6175711,124.2168600525,160.4117861208,146.649,7.8076375823,120.3095519758,1115.6074984769,,,,,,
11073.2462573699,154.5303006,124.2168600525,160.4117861208,146.649,34.5918719311,62.1148991476,918.9046778253,,,,,,
11073.2462573699,152.5573542,124.2168600525,160.4117861208,146.649,61.6921007981,34.9086493527,803.1836085231,,,,,,
11073.2462573699,158.0652933,124.2168600525,160.4117861208,146.649,5.506028558,130.3317527116,1145.7164333088,,,,,,
11073.2462573699,158.0676511,124.2168600525,160.4117861208,146.649,5.4949689956,130.3855929435,1145.8760545398,,,,,,
11073.2462573699,152.1785922,124.2168600525,160.4117861208,146.649,67.7854821371,30.5763898983,781.8584646871,,,,,,
11073.0719672755,159.5891643,124.2167233377,160.4117338702,146.649,0.6766206978,167.447852111,1251.2095796283,,,,,,
11073.0719672755,157.4069804,124.2167233377,160.4117338702,146.649,9.0285434165,115.7556592476,1101.5931638586,,,,,,
11073.0188589516,154.8311785,124.2166816787,160.4117179488,146.648,31.1424205395,66.9644103629,937.2474156244,,,,,,
11073.0188589516,161.1821755,124.2166816787,160.4117179488,146.648,0.5936048382,211.2422574648,1366.4477334563,,,,,,
11073.0188589516,149.5767983,124.2166816787,160.4117179488,146.648,117.3954837957,8.5720028855,643.1355150485,,,,,,
11073.0719672755,147.3865297,124.2167233377,160.4117338702,146.649,169.6559436746,0.5395338802,536.8399268644,,,,,,
11073.3565954752,146.5198057,124.2169466017,160.4118191992,146.652,192.9880390622,0.014931447,497.4175239606,,,,,,
11073.6347340047,146.4421883,124.2171647695,160.4359249361,146.642,195.8246650396,0.0407279623,493.9516709317,,,,ITM RMSD,DNN RMSD,Free Space RMSD
11074.2703724783,145.7208913,124.2176633345,160.5021236964,146.644,218.4848311578,0.8319422806,462.3888129348,,,,19.5396351607,9.1227201114,24.5569953121
11074.9259268376,146.8471868,124.2181774907,160.6109662037,146.633,189.4416234725,0.0480428533,512.0720623209,,,,,,
11075.8049653315,146.3701227,124.2188668794,160.6254346772,146.628,203.2139195663,0.0696312295,490.6781344319,,,,,,
11077.1537148488,147.6129087,124.219924534,160.5332445212,146.634,166.9350777336,0.9465513385,547.2317081924,,,,,,
11079.0783169681,148.5221887,124.2214335344,160.4355106156,146.64,141.9272390648,3.5050905284,590.5267016196,,,,,,
11081.4383768975,147.8216935,124.2232836014,160.3071071288,146.65,155.8855534812,1.3495317879,556.8849497441,,,,,,
11084.3740344037,147.6020343,124.2255843334,160.2114873234,146.66,158.9983055499,0.8372877702,546.4584130414,,,,,,
11087.6868477898,146.0809289,124.2281799182,160.060653293,146.687,195.4326941047,0.3844881691,477.5426380637,,,,,,
11090.9077420039,144.5048756,124.2307027409,159.9447245953,146.701,238.3889369976,4.9112073563,411.0420851192,,,,,,
11093.4612673737,146.1238869,124.2327023146,159.8820984093,146.721,189.2883839348,0.3342147564,479.2239625535,,,,,,
11095.6666099389,147.7757486,124.2344288684,159.8112474218,146.702,144.8532318904,1.152936056,554.1937347041,,,,,,
11098.3652442269,147.549553,124.2365411516,159.5436749403,146.702,143.8589611177,0.6964787098,543.4965214449,,,,,,
11102.1374967805,146.9221148,124.2394929198,159.393729751,146.715,155.5411794848,0.0369080964,514.5013353586,,,,,,
11106.2725318194,145.5817492,124.2427274115,159.5208866839,146.73,194.2995537938,1.3461819189,455.3538508907,,,,,,
11110.2437510245,143.6629962,124.2458326303,159.6421057597,146.742,255.3319423206,9.5110794384,377.0262410927,,,,,,
