Latitude,Longitude,VSA_BPL,,,,,,
39.748025,-105.001902,157.6175711,,,,,,
39.748025,-105.001902,154.5303006,,,,,,
39.748025,-105.001902,152.5573542,,,,,,
39.748025,-105.001902,158.0652933,,,,,,
39.748025,-105.001902,158.0676511,,,,,,
39.748025,-105.001902,152.1785922,,,,,,
39.748027,-105.001902,159.5891643,,,,,,
39.748027,-105.001902,157.4069804,,,,,,
39.748027,-105.001903,154.8311785,,,,,,
39.748027,-105.001903,161.1821755,,,,,,
39.748027,-105.001903,149.5767983,,,,,,
39.748027,-105.001902,147.3865297,,,,,,
39.748028,-105.001895,146.5198057,,,,,,
39.748037,-105.001875,146.4421883,,,,,,
39.748048,-105.001845,145.7208913,,,,,,
39.74806,-105.001813,146.8471868,,,,,,
39.748067,-105.001785,146.3701227,,,,,,
39.748068,-105.001758,147.6129087,,,,,,
39.748063,-105.00173,148.5221887,,,,,,
39.748053,-105.001702,147.8216935,,,,,,
39.748037,-105.001673,147.6020343,,,,,,
39.748013,-105.00165,146.0809289,,,,,,
39.747987,-105.001632,144.5048756,,,,,,
39.747965,-105.00162,146.1238869,,,,,,
39.747947,-105.001608,147.7757486,,,,,,
39.747927,-105.00159,147.549553,,,,,,
39.747902,-105.00156,146.9221148,,,,,,
39.747882,-105.001515,145.5817492,,,,,,
39.74787,-105.00146,143.6629962,,,,,,
39.747868,-105.001395,145.3365616,,,,,,
39.747875,-105.001322,144.7753692,,,,,,
39.747888,-105.00124,146.0227526,,,,,,
39.747922,-105.001062,142.1658888,,,,,,
39.74794,-105.000963,137.5399895,,,,,,
39.747962,-105.000863,139.5666105,,,,,,
39.74799,-105.000767,138.4042363,,,,,,
39.748028,-105.000675,142.3048513,,,,,,
39.748078,-105.000592,149.8122001,,,,,,
39.748133,-105.00051,150.6354489,,,,,,
39.748193,-105.00043,153.7747879,,,,,,
39.748255,-105.00035,151.7536107,,,,,,
39.74832,-105.000268,150.9568387,,,,,,
39.748385,-105.000185,152.4935032,,,,,,
39.748452,-105.0001,151.2217676,,,,,,
39.748515,-105.000018,149.941998,,,,,,
39.748575,-104.999942,146.8036484,,,,,,
39.74863,-104.999872,147.6308714,,,,,,
39.74868,-104.999808,147.1222353,,,,,,
39.748723,-104.999752,147.9398088,,,,,,
39.74876,-104.999703,148.2095579,,,,,,
39.748793,-104.99966,147.5949882,,,,,,
39.748825,-104.999618,147.0345705,,,,,,
39.7489,-104.99952,145.9844857,,,,,,
39.748938,-104.999467,145.5524524,,,,,,
39.748975,-104.999417,147.8013004,,,,,,
39.749013,-104.999367,145.6437205,,,,,,
39.749052,-104.999313,147.2204957,,,,,,
39.749095,-104.999257,146.0888444,,,,,,
39.749143,-104.999195,147.0555825,,,,,,
39.749198,-104.999125,147.3142491,,,,,,
39.749255,-104.999053,146.8318608,,,,,,
39.749313,-104.998977,145.6897039,,,,,,
39.749373,-104.998897,143.8982869,,,,,,
39.749433,-104.998818,146.0064992,,,,,,
39.749493,-104.998742,146.2716864,,,,,,
39.749553,-104.998672,147.3732389,,,,,,
39.749658,-104.998552,149.6745188,,,,,,
39.7497,-104.998502,151.6789375,,,,,,
39.749733,-104.998458,150.0542574,,,,,,
39.74976,-104.998427,152.0025614,,,,,,
39.749778,-104.998403,148.522844,,,,,,
39.74979,-104.998387,148.485545,,,,,,
39.749797,-104.998377,156.2007291,,,,,,
39.749798,-104.998372,153.9236697,,,,,,
39.749798,-104.99837,152.9398383,,,,,,
39.7498,-104.998367,155.9742236,,,,,,
39.7498,-104.998363,151.9826669,,,,,,
39.7498,-104.998362,153.3515681,,,,,,
39.749802,-104.998358,154.1984875,,,,,,
39.749802,-104.998357,153.8433872,,,,,,
39.749802,-104.998353,156.9207947,,,,,,
39.749803,-104.998352,158.3147526,,,,,,
39.749803,-104.99835,156.6178987,,,,,,
39.749805,-104.998348,155.9656443,,,,,,
39.749805,-104.998345,157.2909991,,,,,,
39.749805,-104.998343,153.6227878,,,,,,
39.749807,-104.998342,155.8420734,,,,,,
39.749808,-104.99834,153.1653277,,,,,,
39.749808,-104.998338,153.1329558,,,,,,
39.749808,-104.998337,153.6915023,,,,,,
39.74981,-104.998335,152.0378943,,,,,,
39.74981,-104.998333,155.9595307,,,,,,
39.749812,-104.998332,156.0633548,,,,,,
39.749812,-104.998332,154.395369,,,,,,
39.74981,-104.99833,153.5104437,,,,,,
39.74981,-104.998327,155.6793824,,,,,,
39.749808,-104.998325,149.7583209,,,,,,
39.749808,-104.998323,150.1661649,,,,,,
39.749808,-104.998318,148.613202,,,,,,
39.74984,-104.998262,145.1258344,,,,,,
39.749875,-104.998212,143.9294311,,,,,,
39.74992,-104.99815,142.3411258,,,,,,
39.749973,-104.998082,144.9347919,,,,,,
39.750092,-104.997925,143.1237304,,,,,,
39.750157,-104.99784,147.0445536,,,,,,
39.750225,-104.997753,149.0131182,,,,,,
39.750292,-104.997667,150.0021338,,,,,,
39.750423,-104.997497,151.0038209,,,,,,
39.750485,-104.997417,151.8666526,,,,,,
39.750542,-104.997343,150.0648877,,,,,,
39.750593,-104.997277,148.2501838,,,,,,
39.750695,-104.997148,143.9455668,,,,,,
39.75075,-104.997083,142.6247297,,,,,,
39.750807,-104.997015,147.6340381,,,,,,
39.750867,-104.996942,152.4579354,,,,,,
39.750993,-104.996783,153.3605024,,,,,,
39.751062,-104.9967,149.0912121,,,,,,
39.75113,-104.996612,147.8198939,,,,,,
39.751272,-104.996437,150.420753,,,,,,
39.751343,-104.996355,151.6028662,,,,,,
39.751417,-104.996278,152.5094867,,,,,,
39.751485,-104.996203,151.7545878,,,,,,
39.751545,-104.996132,150.4276891,,,,,,
39.751635,-104.996015,149.5530032,,,,,,
39.751665,-104.995975,151.2540417,,,,,,
39.751687,-104.995947,151.0667159,,,,,,
