Latitude,Longitude,VSA_BPL
39.826275,-105.082642,107.632348
39.826275,-105.082642,99.70703484
39.826275,-105.082642,99.57794079
39.826275,-105.082642,99.04892128
39.826275,-105.082642,100.8392827
39.826275,-105.082642,100.8687482
39.826275,-105.082642,100.5236673
39.826275,-105.082642,97.57736556
39.826272,-105.082642,98.93132618
39.826248,-105.082647,97.99340072
39.826227,-105.082652,96.66042434
39.8262,-105.082662,93.96732721
39.826168,-105.082675,90.02589149
39.826097,-105.082713,86.82002738
39.826058,-105.082742,85.89710533
39.82602,-105.082773,84.39985478
39.825983,-105.08281,84.77531932
39.825913,-105.08289,84.9892491
39.825883,-105.082932,84.31923423
39.825857,-105.082972,85.08372531
39.825835,-105.08301,83.91068727
39.825802,-105.083093,84.51577851
39.82579,-105.083142,83.4984593
39.825778,-105.083195,83.73768497
39.825768,-105.083255,84.53155879
39.825752,-105.083388,84.59858137
39.825745,-105.083462,84.73893546
39.82574,-105.083533,86.24308028
39.825735,-105.083603,88.18147201
39.82572,-105.083745,92.04018508
39.825712,-105.083817,97.81453879
39.825703,-105.083892,98.51410099
39.825695,-105.083968,97.62984642
39.825683,-105.08412,98.49878156
39.825678,-105.084195,94.5788579
39.825677,-105.084267,102.9370347
39.825673,-105.084338,104.0779389
39.82567,-105.084478,103.3678324
39.82567,-105.084552,104.9440583
39.825668,-105.08463,108.824481
39.825668,-105.084713,106.9847785
39.825667,-105.084895,104.9319586
39.825665,-105.084992,104.5107025
39.825663,-105.085092,101.5327952
39.825662,-105.085193,104.8027699
39.825662,-105.085405,108.8442375
39.825663,-105.085513,106.9533096
39.825667,-105.08562,108.2512092
39.825667,-105.085728,113.7827243
39.825668,-105.085947,113.2236716
39.825668,-105.086053,113.9729721
39.825668,-105.08616,112.7604016
39.825668,-105.086265,111.8501725
39.825668,-105.086457,116.4054727
39.825665,-105.086535,113.7593765
39.82565,-105.086602,117.0323847
39.825618,-105.086653,122.1626546
39.825522,-105.086702,120.0493344
39.825465,-105.086705,120.3452893
39.825408,-105.086703,116.5300817
39.82535,-105.086702,120.0256354
39.825223,-105.086698,122.9600626
39.825155,-105.086697,125.4135703
39.82508,-105.086695,128.8138021
39.825002,-105.086693,128.9362751
39.824838,-105.086692,129.2433463
39.824755,-105.08669,128.3713505
39.82467,-105.08669,131.1688049
39.824495,-105.086688,131.9453514
39.824405,-105.086688,132.6891144
39.824315,-105.086688,131.6239285
39.824133,-105.086685,131.4653868
39.823955,-105.086685,128.4860982
39.82387,-105.086685,126.8334119
39.823785,-105.086685,125.982646
39.8237,-105.086685,124.6039424
39.823537,-105.086687,120.3015475
39.823457,-105.08669,121.5661427
39.823373,-105.086695,120.8767819
39.823292,-105.086698,120.3606715
39.823208,-105.0867,120.4228762
39.82313,-105.086703,121.1475206
39.823052,-105.086707,121.7427064
39.822975,-105.086707,121.3229038
39.822902,-105.086705,120.8515157
39.822832,-105.086702,119.7666928
39.822765,-105.0867,120.3478762
39.822698,-105.086698,121.7162952
39.822633,-105.086697,124.1836208
39.822567,-105.086695,122.9099302
39.822497,-105.086693,121.6549956
39.822428,-105.086692,120.7056168
39.822358,-105.086692,122.2542998
39.822288,-105.08669,122.0024848
39.82222,-105.086688,120.4899408
39.822158,-105.086688,119.3186631
39.822108,-105.086688,119.6338046
39.822075,-105.08669,119.2655829
39.822053,-105.086692,118.6477721
39.822035,-105.086692,117.9639603
39.822012,-105.086692,118.4551239
39.82198,-105.086692,115.980416
39.821943,-105.08669,115.7343051
39.8219,-105.086688,114.2382971
39.821848,-105.086687,114.0962445
39.821787,-105.086687,116.5474657
39.821718,-105.086687,111.4322518
39.821647,-105.086688,116.8806672
39.821572,-105.086688,120.3112474
39.821493,-105.08669,117.4110166
39.821413,-105.08669,118.4296848
39.82133,-105.08669,116.7153262
39.821243,-105.08669,115.5669334
39.821155,-105.086688,111.5148964
39.821063,-105.086687,116.1493952
39.82097,-105.086685,118.5716987
39.820877,-105.086685,117.8882749
39.820782,-105.086687,118.9590427
39.820692,-105.086688,121.7063064
39.820605,-105.08669,121.9091281
39.820527,-105.086693,121.5885022
39.820457,-105.086698,121.6543344
39.820397,-105.086702,120.8193213
39.820345,-105.086703,118.7421885
39.8203,-105.086705,119.4756391
39.820268,-105.086703,122.7830909
39.82025,-105.086703,118.5908887
39.820242,-105.086703,116.67396
39.820232,-105.0867,114.3210032
39.820217,-105.086692,114.9633278
39.820193,-105.08667,119.121985
39.82017,-105.086633,117.0669514
39.82015,-105.086583,116.0559305
39.820138,-105.086518,116.9095583
39.820132,-105.086442,115.5028278
39.820128,-105.086355,112.0216187
39.820127,-105.08626,116.5327249
39.820128,-105.086157,115.2260909
39.820128,-105.086047,117.6709798
39.82013,-105.085933,112.9099449
39.82013,-105.085817,118.0853443
39.820128,-105.085698,119.3425063
39.820125,-105.085577,120.0121373
39.820123,-105.085452,119.4644195
39.82012,-105.085325,117.3954563
39.820117,-105.085195,108.4672918
39.820115,-105.085062,109.4369374
39.820113,-105.084927,109.3247866
39.820112,-105.084788,101.6927771
39.82011,-105.084647,103.3757911
39.820108,-105.084505,108.7591354
39.820108,-105.084358,108.6670515
39.820108,-105.084212,110.0636205
39.820108,-105.084063,109.2710071
39.820108,-105.083913,113.6804841
39.820108,-105.083762,116.0001652
39.820108,-105.08361,115.3119588
39.82011,-105.083458,120.0195226
39.820113,-105.08331,117.2943597
39.820117,-105.083163,114.2984313
39.82012,-105.083018,112.2255871
39.820123,-105.082873,110.7640814
39.820125,-105.08273,108.2288894
39.820122,-105.082587,104.2551071
39.820113,-105.08245,110.0339987
39.820102,-105.082318,115.1571444
39.820088,-105.082195,111.8979764
39.820078,-105.082078,109.7253208
39.820072,-105.081975,115.9091118
39.820067,-105.081885,116.1553674
39.820063,-105.081808,112.1580984
39.820062,-105.081745,105.1488802
39.820062,-105.081695,105.9074966
39.82006,-105.08166,106.4424997
39.82006,-105.081638,100.2785174
39.820058,-105.081627,101.7184851
39.820057,-105.081607,102.2175909
39.820047,-105.081575,100.2659442
39.820023,-105.081542,100.3441911
39.819987,-105.081513,97.94092925
39.819937,-105.081495,98.06045191
39.819875,-105.081485,101.6569603
39.819802,-105.08148,101.5206596
39.819717,-105.08148,103.9779858
39.819625,-105.08148,112.5302158
39.819527,-105.081482,106.2019942
39.819425,-105.081482,106.7948404
39.819318,-105.081483,100.8936513
39.819208,-105.081483,99.25558592
39.819097,-105.081483,99.39265056
39.818983,-105.081482,97.6191353
39.81887,-105.08148,96.97055511
39.818755,-105.08148,95.15003316
39.81864,-105.08148,98.83582105
39.818525,-105.081482,98.8566952
39.818408,-105.081482,99.18708188
39.818293,-105.081483,105.126264
39.818177,-105.081483,108.7693318
39.818062,-105.081485,110.7252906
39.817945,-105.081487,105.8698046
39.817827,-105.081488,109.1688069
39.817708,-105.08149,108.5245585
39.81759,-105.08149,106.0674261
39.81747,-105.081492,109.4331791
39.81735,-105.081493,110.0085026
39.817228,-105.081493,106.6338358
39.817107,-105.081493,111.8954925
39.816983,-105.081493,107.3249714
39.816858,-105.081493,104.2475099
39.816733,-105.081493,105.4163627
39.816607,-105.081493,106.7949379
39.81648,-105.081493,108.6570116
39.816352,-105.081495,108.411145
39.816223,-105.081495,108.2281569
39.816093,-105.081497,110.1644446
39.815962,-105.081498,115.1542321
39.815827,-105.081498,112.4372527
39.815688,-105.081498,111.8540534
39.815548,-105.081498,108.9417585
39.815408,-105.081497,109.4503756
39.815267,-105.081492,106.1744349
39.815127,-105.081483,108.8420139
39.814985,-105.081468,105.2735643
39.814845,-105.081442,107.6614345
39.814707,-105.08141,115.860397
39.814567,-105.081372,111.4392214
39.814427,-105.081327,111.0188535
39.814288,-105.081275,107.438189
39.814147,-105.081217,108.2844572
39.814007,-105.081152,113.118441
39.813867,-105.08108,113.2868345
39.813725,-105.081002,110.7394507
39.813582,-105.080922,111.3835258
39.813437,-105.08084,113.1340695
39.813288,-105.08076,111.4353936
39.813138,-105.080682,111.1352562
39.812988,-105.080607,106.0057662
39.812835,-105.080535,105.3418643
39.81268,-105.080467,106.1426974
39.812522,-105.080402,106.3102958
39.812363,-105.080338,108.7201851
39.812203,-105.080277,107.1421543
39.812042,-105.080215,108.1017266
39.811878,-105.080152,105.235935
39.811713,-105.080088,112.6307854
39.811548,-105.080022,119.1767372
39.81138,-105.079955,120.4432834
39.81121,-105.079885,121.3624427
39.81104,-105.079813,123.48487
39.810867,-105.079738,125.0994971
39.810693,-105.079662,124.1696261
39.810515,-105.079585,122.7429523
39.810333,-105.079507,127.430249
39.810148,-105.07943,125.7673758
39.80996,-105.079352,126.8127547
39.80977,-105.079273,129.3362751
39.809577,-105.079193,131.4340301
39.809382,-105.079113,131.6433795
39.809187,-105.079033,135.5081585
39.808993,-105.078953,130.3861444
39.8088,-105.078873,134.1796904
39.808607,-105.078795,131.2799761
39.808413,-105.078717,136.848572
39.808222,-105.078637,138.5142006
39.808028,-105.078557,137.0247566
39.807835,-105.078477,136.3359282
39.807642,-105.078398,141.110639
39.807448,-105.078318,139.2355896
39.807258,-105.07824,141.2470622
39.807068,-105.078163,141.1070343
39.80688,-105.078087,138.097355
39.806692,-105.078012,141.3485551
39.806505,-105.077937,141.1846124
39.806317,-105.077863,144.8991595
39.806132,-105.077787,142.8866485
39.80595,-105.07771,138.442309
39.805768,-105.077637,139.2334536
39.805588,-105.077562,134.0074291
39.80541,-105.077488,133.2512396
39.805235,-105.077417,132.8447055
39.80506,-105.077345,133.4294943
39.804888,-105.077273,130.4037196
39.804717,-105.077202,131.7287295
39.804547,-105.077132,132.2869492
39.804378,-105.077062,127.3481336
39.804212,-105.076995,127.2463273
39.804047,-105.076935,125.6200241
39.803888,-105.076882,125.5719073
39.803737,-105.076837,128.7293718
39.80359,-105.076798,131.1844652
39.803448,-105.076763,127.183779
39.80331,-105.076733,125.3884833
39.80318,-105.076707,126.7011749
39.803062,-105.076683,129.8426633
39.802958,-105.076663,126.9480445
39.802868,-105.076648,122.5693243
39.802788,-105.076635,121.7245272
39.802722,-105.076628,117.3854656
39.802667,-105.076623,117.2688706
39.802625,-105.076622,118.8103143
39.802595,-105.07662,118.7956857
39.802577,-105.07662,118.2902229
39.802565,-105.07662,115.6141285
39.80256,-105.07662,115.1406956
39.80256,-105.07662,114.9547577
39.80256,-105.076622,114.6829737
39.802562,-105.076622,114.8734568
39.802562,-105.076622,115.5291596
39.802563,-105.076622,115.7588791
39.802565,-105.076622,115.5733778
39.802565,-105.076623,115.6837582
39.802567,-105.076623,115.6565761
39.802568,-105.076623,115.6830228
39.802568,-105.076623,115.5595116
39.80257,-105.076625,116.2040888
39.80257,-105.076625,115.7350518
39.802572,-105.076625,115.9400522
39.802572,-105.076625,115.9336793
39.802573,-105.076625,115.530262
39.802575,-105.076625,116.062273
39.802575,-105.076627,116.5402018
39.802577,-105.076627,118.1054599
39.802577,-105.076627,118.6363644
39.802572,-105.076627,120.8584624
39.802555,-105.076627,121.6264306
39.802523,-105.076625,117.8200355
39.80248,-105.076623,119.6052511
39.802427,-105.076622,122.1471682
39.802365,-105.07662,122.5553443
39.802293,-105.076618,122.3748892
39.802213,-105.076618,122.6862571
39.802127,-105.076617,118.6050971
39.80203,-105.076615,121.1211103
39.801925,-105.076613,120.259636
39.801815,-105.076612,119.8634234
39.801697,-105.076608,119.8343201
39.801572,-105.076605,123.0569311
39.80144,-105.0766,123.233042
39.8013,-105.076597,126.0752254
39.801152,-105.076592,120.3788949
39.800998,-105.076588,118.6737844
39.80084,-105.076583,121.8855396
39.80068,-105.07658,121.6623661
39.800517,-105.076575,127.9724456
39.800352,-105.076572,128.3129518
39.800182,-105.07657,126.9178775
39.800012,-105.076567,130.1185924
39.799838,-105.076565,128.4196545
39.79967,-105.076557,130.0341422
39.79951,-105.076548,130.8983868
39.79935,-105.07655,132.7206405
39.799192,-105.076557,129.0131108
39.799048,-105.076567,131.0133143
39.798918,-105.07658,132.2967601
39.798807,-105.076593,133.6667491
39.798712,-105.076607,135.2987517
39.798628,-105.076622,135.044893
39.798547,-105.076637,135.1631647
39.79847,-105.076653,135.7439179
39.798393,-105.076668,134.5124283
39.798317,-105.076685,134.7633301
39.79824,-105.076705,133.914427
39.798162,-105.076728,131.6483177
39.798078,-105.076755,134.7958527
39.797992,-105.076788,133.7188486
39.797898,-105.076825,132.8383423
39.797802,-105.076863,134.4403977
39.797698,-105.076905,132.9034895
39.79759,-105.076953,132.8058958
39.797475,-105.077003,132.2282242
39.797358,-105.077058,132.7293256
39.79724,-105.077117,132.7996566
39.79712,-105.077178,128.3435394
39.797,-105.077243,130.8939583
39.796882,-105.077312,131.9679198
39.796763,-105.077382,135.1463818
39.796647,-105.07745,135.82533
39.79653,-105.077518,134.4143324
39.796413,-105.077587,132.7644274
39.7963,-105.077653,130.388832
39.796188,-105.077722,129.4282346
39.796078,-105.077787,127.0699055
39.795968,-105.077852,125.8640025
39.79586,-105.077918,127.3187712
39.795753,-105.077987,125.8035139
39.79565,-105.078053,127.9692968
39.795552,-105.07812,129.6216134
39.79546,-105.078183,130.2581743
39.795372,-105.078248,128.2492609
39.795283,-105.078313,131.3570153
39.795197,-105.078382,130.5110936
39.795108,-105.078448,130.347146
39.79502,-105.07852,129.6988967
39.79493,-105.078597,129.2780222
39.794842,-105.078675,129.7697815
39.794752,-105.078758,123.1796716
39.79466,-105.078842,122.41214
39.794567,-105.078928,117.7924033
39.794472,-105.079015,122.5456075
39.794377,-105.079102,123.2350064
39.794283,-105.079187,122.2583396
39.794192,-105.079273,123.4770625
39.7941,-105.079358,124.426443
39.794007,-105.079443,124.9001458
39.793917,-105.079525,126.5957159
39.793835,-105.0796,119.7727919
39.793762,-105.079668,122.3701908
39.793693,-105.079732,115.9439782
39.793627,-105.079793,123.7942318
39.793558,-105.079855,120.3804928
39.793492,-105.079917,119.3438672
39.793422,-105.079982,118.3945676
39.79335,-105.080047,126.7458457
39.793278,-105.080115,127.3443596
39.793205,-105.080183,125.6433314
39.793132,-105.08025,127.1456641
39.79306,-105.080317,118.5910173
39.792988,-105.080382,118.1188861
39.79292,-105.080447,116.3703815
39.792855,-105.080505,116.0242259
39.792797,-105.080558,123.4782057
39.792747,-105.080603,115.1131618
39.792708,-105.080638,115.5859023
39.792677,-105.080667,118.5696255
39.792647,-105.080692,123.2295984
39.792615,-105.080718,126.9012068
39.79258,-105.08075,127.4109073
39.792537,-105.080785,127.5521927
39.792488,-105.080822,126.8671516
39.792437,-105.080863,125.1773199
39.79238,-105.080907,124.2612044
39.792322,-105.080955,125.4936708
39.792265,-105.081002,128.5410985
39.792215,-105.081045,125.9937253
39.792173,-105.08108,126.8495613
39.792138,-105.08111,122.3134709
39.792105,-105.081133,125.1667629
39.792077,-105.081153,126.2676856
39.792052,-105.08117,127.2371478
39.792027,-105.081183,123.2282417
39.792005,-105.081197,116.0813669
39.791985,-105.081208,116.0664691
39.791967,-105.081218,115.0329098
39.791955,-105.081225,116.4818228
39.791948,-105.081228,116.0756846
39.791945,-105.081228,114.8882089
39.791947,-105.081228,115.5429012
39.791947,-105.081228,115.6715298
39.791947,-105.081228,115.1793073
39.791947,-105.081228,114.4261345
39.791948,-105.081228,115.0631223
39.791948,-105.081228,114.2868959
39.791948,-105.081228,115.5001026
39.791948,-105.081227,114.3535985
39.79195,-105.081227,114.1533366
39.79195,-105.081227,113.7363004
39.79195,-105.081227,112.9383739
39.79195,-105.081227,113.689966
39.791952,-105.081227,113.4569671
